lat,lon,flood_risk
14.31891701,121.1033844,2.3627092374999936
14.33027264,121.0871463,2.3282170749999986
14.33068844,121.0865884,2.326999949999995
14.33047015,121.0852258,2.325569562500003
14.33129915,121.0854565,2.324821687500007
14.33964355,121.0936748,2.3246640625000015
14.32623934,121.0787027,2.32270419999999
14.33457613,121.0869451,2.3225862124999908
14.33378793,121.0856789,2.321988712500005
14.32601026,121.0767394,2.3205364249999905
14.32741919,121.0779892,2.3203375125000036
14.32815205,121.0782306,2.3197231874999957
14.32818324,121.0780804,2.319496450000005
14.34112802,121.0888728,2.3168059750000047
14.33903352,121.085571,2.3152968500000015
14.34112802,121.0873412,2.314891474999996
14.34113581,121.0873412,2.314881737499994
14.3352414,121.0813259,2.3147306249999944
14.3390699,121.0842272,2.3135716249999994
14.33853652,121.0835253,2.313360975000005
14.34886984,121.0859634,2.303491949999994
14.34834104,121.0849254,2.302855450000003
14.34861236,121.0851127,2.302750424999993
14.34805112,121.0841096,2.302198100000006
14.34900367,121.0848556,2.301939912499995
14.34917624,121.0848552,2.301723700000007
14.34919596,121.0848744,2.301723050000004
14.34920222,121.0848552,2.3016912250000066
14.34928041,121.0843594,2.300973737499994
14.3482616,121.0829536,2.300489999999993
14.3482668,121.0829482,2.3004767500000045
14.34685054,121.0796839,2.298166700000006
14.34886186,121.0816151,2.298066549999991
14.34903337,121.0809741,2.297050912500005
14.35178653,121.0831753,2.2963609624999903
14.349943,121.068497,2.280317499999991
14.35357574,121.071855,2.2799740749999975
14.350712,121.068199,2.2789837500000076
14.3484112,121.0644601,2.277186125000006
14.3550101,121.0682286,2.2736481249999962
14.355784,121.065559,2.2693437499999902
14.35727595,121.065525,2.267436312499991
14.35716162,121.0647632,2.266626975000001
14.35804509,121.0643877,2.2650532624999964
14.35958335,121.0635723,2.2621111875000044
14.35745319,121.0572052,2.2568150124999975
14.36425005,121.0634221,2.2560900624999936
14.35784425,121.0570013,2.2560713124999943
14.36654699,121.063465,2.253272512499991
14.36902448,121.0620032,2.2483484000000065
14.36866332,121.0608687,2.2473817249999994
14.36908944,121.0610805,2.2471138250000022
14.3715877,121.0614266,2.244423625000005
14.36848978,121.0564246,2.242043524999997
14.36825074,121.054826,2.2403440750000048
14.37427949,121.0599138,2.2391678875000043
14.36494107,121.0493201,2.2375987875000014
14.37313665,121.0573797,2.2374288124999975
14.37034167,121.0542343,2.236990787500004
14.37315835,121.0552655,2.234758937500003
14.33313645,121.0541926,2.2325561722999905
14.38017717,121.0522698,2.222240787500005
14.38130737,121.0519801,2.2204659124999915
14.383555,121.051544,2.217111250000008
14.384552,121.051956,2.2163800000000045
14.384449,121.051331,2.2157275000000043
14.384968,121.051308,2.215050000000005
14.385155,121.051224,2.2147112500000055
14.385987,121.051094,2.213508750000006
14.386215,121.05056,2.212556250000004
14.386225,121.050407,2.2123525000000077
14.388148,121.051056,2.2107600000000027
14.390809,121.051781,2.208340000000004
14.391017,121.05172,2.2080037500000027
14.390538,121.051033,2.207743750000004
14.391162,121.050964,2.2068774999999907
14.39638155,121.0503913,2.199637187500001
14.39599003,121.0486872,2.1979964625000026
14.3976039,121.0485187,2.1957685000000016
14.394217,121.044861,2.195429999999996
14.395049,121.045006,2.194571249999999
14.395023,121.044907,2.194479999999992
14.39797229,121.0478021,2.194412262499996
14.40183085,121.0511242,2.1937416875000038
14.395807,121.044945,2.193547499999997
14.395828,121.04493,2.193502499999991
14.395953,121.044983,2.1934125000000004
14.39615,121.04509,2.1933000000000002
14.398239,121.045837,2.1916225000000056
14.398914,121.046463,2.1915612500000026
14.398421,121.045959,2.191547499999993
14.398566,121.046051,2.1914812500000047
14.410065,121.051376,2.183763750000005
14.410059,121.051361,2.183752499999998
14.405944,121.046822,2.183222500000006
14.406059,121.046814,2.1830687499999946
14.406209,121.046799,2.182862499999989
14.406422,121.046761,2.182548750000004
14.406428,121.046761,2.182541250000003
14.406485,121.046753,2.1824599999999927
